key,module,page,component,slot,text,notes,status
header.auth.sign_in_aria,shared,*,InsforgeUserHeaderControls,sign_in_aria,"Sign in",,active
login.back_home,shared,LoginPage,LoginPage,back_home,"Back to home",,active
login.cloud_only,shared,LoginPage,LoginPage,cloud_only,"Cloud sign-in is not configured. Use the local dashboard on localhost.",,active
login.title,shared,LoginPage,LoginPage,title,"Sign in",,active
login.subtitle,shared,LoginPage,LoginPage,subtitle,"Choose email or a connected account.",,active
login.dismiss,shared,LoginPage,LoginPage,dismiss,"Dismiss",,active
login.verify_email_success,shared,LoginPage,LoginPage,verify_ok,"Email verified. You can sign in below.",,active
login.verify_email_pending,shared,LoginPage,LoginPage,verify_pending,"Check your email to verify your account, then sign in.",,active
login.oauth.continue,shared,LoginPage,LoginPage,oauth_continue,"Continue with {{provider}}",,active
login.divider,shared,LoginPage,LoginPage,divider,"Or",,active
login.tab.sign_in,shared,LoginPage,LoginPage,tab_sign_in,"Sign in",,active
login.tab.sign_up,shared,LoginPage,LoginPage,tab_sign_up,"Create account",,active
login.field.name,shared,LoginPage,LoginPage,field_name,"Display name",,active
login.field.name_placeholder,shared,LoginPage,LoginPage,name_placeholder,"Optional",,active
login.field.email,shared,LoginPage,LoginPage,field_email,"Email",,active
login.field.password,shared,LoginPage,LoginPage,field_password,"Password",,active
login.forgot_password,shared,LoginPage,LoginPage,forgot_password,"Forgot password?",,active
login.password_hint,shared,LoginPage,LoginPage,pw_hint,"At least {{min}} characters.",,active
login.submit.sign_in,shared,LoginPage,LoginPage,submit_sign_in,"Sign in with email",,active
login.submit.sign_up,shared,LoginPage,LoginPage,submit_sign_up,"Create account",,active
reset_password.back_to_sign_in,shared,ResetPasswordPage,ResetPasswordPage,back_to_sign_in,"Back to sign in",,active
reset_password.title,shared,ResetPasswordPage,ResetPasswordPage,title,"Reset password",,active
reset_password.subtitle,shared,ResetPasswordPage,ResetPasswordPage,subtitle,"Enter your email to receive a reset link.",,active
reset_password.request.submit,shared,ResetPasswordPage,ResetPasswordPage,request_submit,"Send reset link",,active
reset_password.request.sent,shared,ResetPasswordPage,ResetPasswordPage,request_sent,"Check email for reset link & code.",,active
reset_password.field.code,shared,ResetPasswordPage,ResetPasswordPage,field_code,"Reset code",,active
reset_password.field.new_password,shared,ResetPasswordPage,ResetPasswordPage,field_new_password,"New password",,active
reset_password.field.confirm_password,shared,ResetPasswordPage,ResetPasswordPage,field_confirm_password,"Confirm password",,active
reset_password.reset.submit,shared,ResetPasswordPage,ResetPasswordPage,reset_submit,"Reset password",,active
reset_password.error.password_mismatch,shared,ResetPasswordPage,ResetPasswordPage,error_password_mismatch,"Passwords do not match.",,active
reset_password.error.missing_token,shared,ResetPasswordPage,ResetPasswordPage,error_missing_token,"Reset token is missing. Request a new reset link.",,active
reset_password.success,shared,ResetPasswordPage,ResetPasswordPage,success,"Password updated. You can sign in with the new password.",,active
reset_password.success_cta,shared,ResetPasswordPage,ResetPasswordPage,success_cta,"Return to sign in",,active
login_modal.subtitle,shared,*,LoginModal,subtitle,"Sign in to join the leaderboard",,active
login_modal.continue_email,shared,*,LoginModal,continue_email,"Continue with Email",,active
login_modal.divider_email,shared,*,LoginModal,divider_email,"email",,active
shared.placeholder.short,shared,*,*,placeholder_short,"--",,active
shared.unit.percent,shared,*,*,unit_percent,"%",,active
shared.unit.thousand_abbrev,shared,*,*,unit_thousand_abbrev,"K",,active
shared.unit.million_abbrev,shared,*,*,unit_million_abbrev,"M",,active
shared.unit.billion_abbrev,shared,*,*,unit_billion_abbrev,"B",,active
shared.data_source,shared,*,*,label,"Data source: {{source}}",,active
shared.error.prefix,shared,*,*,label,"Error: {{error}}",,active
shared.status.unsynced,shared,*,*,status,"—",,active
error.boundary.title,shared,*,ErrorBoundary,title,"Something went wrong",,active
error.boundary.subtitle,shared,*,ErrorBoundary,subtitle,"This view failed to render",,active
error.boundary.hint,shared,*,ErrorBoundary,hint,"Open the console, then reload the page",,active
error.boundary.no_details,shared,*,ErrorBoundary,details,"No error details",,active
error.boundary.action.reload,shared,*,ErrorBoundary,action_reload,"Reload",,active

landing.screenshot.alt,landing,LandingPage,LandingPage,screenshot_alt,"TokenTracker dashboard screenshot",,active
landing.nav.login,landing,LandingPage,LandingPage,nav_login,"LOGIN",,active
landing.nav.signup,landing,LandingPage,LandingPage,nav_signup,"SIGN UP",,active
landing.install.command,landing,LandingPage,LandingPage,install_command,"npx --yes tokentracker-cli",,active
landing.install.action.copy,landing,LandingPage,LandingPage,install_copy,"COPY COMMAND",,active
landing.install.action.copied,landing,LandingPage,LandingPage,install_copied,"COPIED",,active
landing.meta.title,landing,LandingPage,Meta,title,"Token Tracker — AI Token Usage & Cost Tracker for Coding CLIs",,active
landing.meta.description,landing,LandingPage,Meta,description,"Free, open-source, local-first tracker that monitors AI token usage and cost across Claude Code, Codex, Cursor, Gemini and 27 CLIs. One-command install, privacy-first.",,active
landing.meta.og_site_name,landing,LandingPage,Meta,og_site_name,"Token Tracker",,active
landing.meta.og_type,landing,LandingPage,Meta,og_type,"website",,active
landing.meta.og_image,landing,LandingPage,Meta,og_image,"https://www.tokentracker.cc/dashboard-dark.png",,active
landing.meta.og_url,landing,LandingPage,Meta,og_url,"https://www.tokentracker.cc/",,active
landing.meta.twitter_card,landing,LandingPage,Meta,twitter_card,"summary_large_image",,active
share.meta.title,share,SharePage,Meta,title,"Token Tracker Share",,active
share.meta.description,share,SharePage,Meta,description,"Share a Token Tracker dashboard snapshot with token usage insights across models, projects, and time windows.",,active
share.meta.og_site_name,share,SharePage,Meta,og_site_name,"Token Tracker",,active
share.meta.og_type,share,SharePage,Meta,og_type,"website",,active
share.meta.og_image,share,SharePage,Meta,og_image,"https://www.tokentracker.cc/dashboard-dark.png",,active
share.meta.og_url,share,SharePage,Meta,og_url,"https://www.tokentracker.cc/share",,active
share.meta.twitter_card,share,SharePage,Meta,twitter_card,"summary_large_image",,active
landing.cta.primary,landing,LandingPage,LandingPage,cta_primary,"View Dashboard",,active
landing.cta.secondary,landing,LandingPage,LandingPage,cta_secondary,"GitHub",,active






landing.v2.hero.title_line1,landing,LandingPage,MarketingLanding,hero_title_1,"TRACK EVERY",,active
landing.v2.hero.title_line2,landing,LandingPage,MarketingLanding,hero_title_2,"AI TOKEN",,active
